ac,eng,power,Dist ft.,SEL A-G (dB),ALM A-G (dB),ps_num,retired
A-7E,TF41-A-2,Takeoff (96% NC),400,121.8,117.8,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),500,120,115.4,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),630,118,112.9,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),800,116.1,110.3,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),1000,114,107.7,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),1250,111.9,105,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),1600,109.8,102.2,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),2000,107.5,99.3,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),2500,105.1,96.3,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),3150,102.5,93.2,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),4000,99.8,89.8,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),5000,96.8,86.2,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),6300,93.5,82.3,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),8000,89.9,78.1,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),10000,85.7,73.4,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),12500,81,68.1,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),16000,75.7,62.1,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),20000,69.5,55.3,96,TRUE
A-7E,TF41-A-2,Takeoff (96% NC),25000,62.6,47.8,96,TRUE
AV-8B,F402-RR-405,Flight Idle (40% RPM),200,107.2,104.9,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),250,105.5,102.6,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),315,103.7,100.3,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),400,101.9,97.9,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),500,100,95.4,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),630,98,92.8,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),800,95.9,90.1,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),1000,93.7,87.3,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),1250,91.4,84.3,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),1600,89,81.3,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),2000,86.5,78.2,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),2500,83.9,75.1,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),3150,81.3,71.9,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),4000,78.6,68.6,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),5000,75.8,65.2,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),6300,72.9,61.7,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),8000,69.8,58,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),10000,66.5,54.1,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),12500,62.9,49.9,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),16000,59.1,45.5,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),20000,54.9,40.7,40,FALSE
AV-8B,F402-RR-405,Flight Idle (40% RPM),25000,50.5,35.6,40,FALSE
AV-8B,F402-RR-405,Traffic pattern (70% RPM),200,113,110.9,70,FALSE
AV-8B,F402-RR-405,Traffic pattern (70% RPM),250,111.4,108.7,70,FALSE
AV-8B,F402-RR-405,Traffic pattern (70% RPM),315,109.6,106.3,70,FALSE
